time,time (hours,cost,sequence
"0 days, 0 hours",0,0,[]
"0 days, 1 hours",1,250,[1]
"0 days, 2 hours",2,500,"[1, 1]"
"0 days, 3 hours",3,750,[3]
"0 days, 4 hours",4,1000,"[3, 1]"
"0 days, 5 hours",5,1250,"[3, 1, 1]"
"0 days, 6 hours",6,1500,"[3, 3]"
"0 days, 7 hours",7,1750,"[3, 3, 1]"
"0 days, 8 hours",8,1800,[8]
"0 days, 9 hours",9,2050,"[8, 1]"
"0 days, 10 hours",10,2300,"[8, 1, 1]"
"0 days, 11 hours",11,2550,"[8, 3]"
"0 days, 12 hours",12,2800,"[8, 3, 1]"
"0 days, 13 hours",13,3050,"[8, 3, 1, 1]"
"0 days, 14 hours",14,3300,"[8, 3, 3]"
"0 days, 15 hours",15,3550,"[8, 3, 3, 1]"
"0 days, 16 hours",16,3600,"[8, 8]"
"0 days, 17 hours",17,3850,"[8, 8, 1]"
"0 days, 18 hours",18,4100,"[8, 8, 1, 1]"
"0 days, 19 hours",19,4350,"[8, 8, 3]"
"0 days, 20 hours",20,4600,"[8, 8, 3, 1]"
"0 days, 21 hours",21,4800,[24]
"0 days, 22 hours",22,4800,[24]
"0 days, 23 hours",23,4800,[24]
"1 days, 0 hours",24,4800,[24]
"1 days, 1 hours",25,5050,"[24, 1]"
"1 days, 2 hours",26,5300,"[24, 1, 1]"
"1 days, 3 hours",27,5550,"[24, 3]"
"1 days, 4 hours",28,5800,"[24, 3, 1]"
"1 days, 5 hours",29,6050,"[24, 3, 1, 1]"
"1 days, 6 hours",30,6300,"[24, 3, 3]"
"1 days, 7 hours",31,6550,"[24, 3, 3, 1]"
"1 days, 8 hours",32,6600,"[24, 8]"
"1 days, 9 hours",33,6850,"[24, 8, 1]"
"1 days, 10 hours",34,7100,"[24, 8, 1, 1]"
"1 days, 11 hours",35,7350,"[24, 8, 3]"
"1 days, 12 hours",36,7600,"[24, 8, 3, 1]"
"1 days, 13 hours",37,7850,"[24, 8, 3, 1, 1]"
"1 days, 14 hours",38,8100,"[24, 8, 3, 3]"
"1 days, 15 hours",39,8350,"[24, 8, 3, 3, 1]"
"1 days, 16 hours",40,8400,"[24, 8, 8]"
"1 days, 17 hours",41,8650,"[24, 8, 8, 1]"
"1 days, 18 hours",42,8900,"[24, 8, 8, 1, 1]"
"1 days, 19 hours",43,9150,"[24, 8, 8, 3]"
"1 days, 20 hours",44,9400,"[24, 8, 8, 3, 1]"
"1 days, 21 hours",45,9600,"[24, 24]"
"1 days, 22 hours",46,9600,"[24, 24]"
"1 days, 23 hours",47,9600,"[24, 24]"
"2 days, 0 hours",48,9600,"[24, 24]"
"2 days, 1 hours",49,9850,"[24, 24, 1]"
"2 days, 2 hours",50,10100,"[24, 24, 1, 1]"
"2 days, 3 hours",51,10350,"[24, 24, 3]"
"2 days, 4 hours",52,10600,"[24, 24, 3, 1]"
"2 days, 5 hours",53,10850,"[24, 24, 3, 1, 1]"
"2 days, 6 hours",54,11100,"[24, 24, 3, 3]"
"2 days, 7 hours",55,11350,"[24, 24, 3, 3, 1]"
"2 days, 8 hours",56,11400,"[24, 24, 8]"
"2 days, 9 hours",57,11650,"[24, 24, 8, 1]"
"2 days, 10 hours",58,11900,"[24, 24, 8, 1, 1]"
"2 days, 11 hours",59,12000,[72]
"2 days, 12 hours",60,12000,[72]
"2 days, 13 hours",61,12000,[72]
"2 days, 14 hours",62,12000,[72]
"2 days, 15 hours",63,12000,[72]
"2 days, 16 hours",64,12000,[72]
"2 days, 17 hours",65,12000,[72]
"2 days, 18 hours",66,12000,[72]
"2 days, 19 hours",67,12000,[72]
"2 days, 20 hours",68,12000,[72]
"2 days, 21 hours",69,12000,[72]
"2 days, 22 hours",70,12000,[72]
"2 days, 23 hours",71,12000,[72]
"3 days, 0 hours",72,12000,[72]
"3 days, 1 hours",73,12250,"[72, 1]"
"3 days, 2 hours",74,12500,"[72, 1, 1]"
"3 days, 3 hours",75,12750,"[72, 3]"
"3 days, 4 hours",76,13000,"[72, 3, 1]"
"3 days, 5 hours",77,13250,"[72, 3, 1, 1]"
"3 days, 6 hours",78,13500,"[72, 3, 3]"
"3 days, 7 hours",79,13750,"[72, 3, 3, 1]"
"3 days, 8 hours",80,13800,"[72, 8]"
"3 days, 9 hours",81,14050,"[72, 8, 1]"
"3 days, 10 hours",82,14300,"[72, 8, 1, 1]"
"3 days, 11 hours",83,14550,"[72, 8, 3]"
"3 days, 12 hours",84,14800,"[72, 8, 3, 1]"
"3 days, 13 hours",85,15050,"[72, 8, 3, 1, 1]"
"3 days, 14 hours",86,15300,"[72, 8, 3, 3]"
"3 days, 15 hours",87,15550,"[72, 8, 3, 3, 1]"
"3 days, 16 hours",88,15600,"[72, 8, 8]"
"3 days, 17 hours",89,15850,"[72, 8, 8, 1]"
"3 days, 18 hours",90,16100,"[72, 8, 8, 1, 1]"
"3 days, 19 hours",91,16350,"[72, 8, 8, 3]"
"3 days, 20 hours",92,16600,"[72, 8, 8, 3, 1]"
"3 days, 21 hours",93,16800,"[72, 24]"
"3 days, 22 hours",94,16800,"[72, 24]"
"3 days, 23 hours",95,16800,"[72, 24]"
"4 days, 0 hours",96,16800,"[72, 24]"
"4 days, 1 hours",97,17050,"[72, 24, 1]"
"4 days, 2 hours",98,17300,"[72, 24, 1, 1]"
"4 days, 3 hours",99,17550,"[72, 24, 3]"
"4 days, 4 hours",100,17800,"[72, 24, 3, 1]"
"4 days, 5 hours",101,18050,"[72, 24, 3, 1, 1]"
"4 days, 6 hours",102,18300,"[72, 24, 3, 3]"
"4 days, 7 hours",103,18550,"[72, 24, 3, 3, 1]"
"4 days, 8 hours",104,18600,"[72, 24, 8]"
"4 days, 9 hours",105,18850,"[72, 24, 8, 1]"
"4 days, 10 hours",106,19100,"[72, 24, 8, 1, 1]"
"4 days, 11 hours",107,19350,"[72, 24, 8, 3]"
"4 days, 12 hours",108,19600,"[72, 24, 8, 3, 1]"
"4 days, 13 hours",109,19850,"[72, 24, 8, 3, 1, 1]"
"4 days, 14 hours",110,20100,"[72, 24, 8, 3, 3]"
"4 days, 15 hours",111,20350,"[72, 24, 8, 3, 3, 1]"
"4 days, 16 hours",112,20400,"[72, 24, 8, 8]"
"4 days, 17 hours",113,20650,"[72, 24, 8, 8, 1]"
"4 days, 18 hours",114,20900,"[72, 24, 8, 8, 1, 1]"
"4 days, 19 hours",115,21150,"[72, 24, 8, 8, 3]"
"4 days, 20 hours",116,21400,"[72, 24, 8, 8, 3, 1]"
"4 days, 21 hours",117,21600,"[72, 24, 24]"
"4 days, 22 hours",118,21600,"[72, 24, 24]"
"4 days, 23 hours",119,21600,"[72, 24, 24]"
"5 days, 0 hours",120,21600,"[72, 24, 24]"
"5 days, 1 hours",121,21850,"[72, 24, 24, 1]"
"5 days, 2 hours",122,22100,"[72, 24, 24, 1, 1]"
"5 days, 3 hours",123,22350,"[72, 24, 24, 3]"
"5 days, 4 hours",124,22600,"[72, 24, 24, 3, 1]"
"5 days, 5 hours",125,22850,"[72, 24, 24, 3, 1, 1]"
"5 days, 6 hours",126,23100,"[72, 24, 24, 3, 3]"
"5 days, 7 hours",127,23350,"[72, 24, 24, 3, 3, 1]"
"5 days, 8 hours",128,23400,"[72, 24, 24, 8]"
"5 days, 9 hours",129,23650,"[72, 24, 24, 8, 1]"
"5 days, 10 hours",130,23900,"[72, 24, 24, 8, 1, 1]"
"5 days, 11 hours",131,24000,"[72, 72]"
"5 days, 12 hours",132,24000,"[72, 72]"
"5 days, 13 hours",133,24000,"[72, 72]"
"5 days, 14 hours",134,24000,"[72, 72]"
"5 days, 15 hours",135,24000,"[72, 72]"
"5 days, 16 hours",136,24000,"[72, 72]"
"5 days, 17 hours",137,24000,"[72, 72]"
"5 days, 18 hours",138,24000,"[72, 72]"
"5 days, 19 hours",139,24000,"[72, 72]"
"5 days, 20 hours",140,24000,"[72, 72]"
"5 days, 21 hours",141,24000,"[72, 72]"
"5 days, 22 hours",142,24000,"[72, 72]"
"5 days, 23 hours",143,24000,"[72, 72]"
"6 days, 0 hours",144,24000,"[72, 72]"
"6 days, 1 hours",145,24250,"[72, 72, 1]"
"6 days, 2 hours",146,24500,"[72, 72, 1, 1]"
"6 days, 3 hours",147,24750,"[72, 72, 3]"
"6 days, 4 hours",148,25000,[168]
"6 days, 5 hours",149,25000,[168]
"6 days, 6 hours",150,25000,[168]
"6 days, 7 hours",151,25000,[168]
"6 days, 8 hours",152,25000,[168]
"6 days, 9 hours",153,25000,[168]
"6 days, 10 hours",154,25000,[168]
"6 days, 11 hours",155,25000,[168]
"6 days, 12 hours",156,25000,[168]
"6 days, 13 hours",157,25000,[168]
"6 days, 14 hours",158,25000,[168]
"6 days, 15 hours",159,25000,[168]
"6 days, 16 hours",160,25000,[168]
"6 days, 17 hours",161,25000,[168]
"6 days, 18 hours",162,25000,[168]
"6 days, 19 hours",163,25000,[168]
"6 days, 20 hours",164,25000,[168]
"6 days, 21 hours",165,25000,[168]
"6 days, 22 hours",166,25000,[168]
"6 days, 23 hours",167,25000,[168]
"7 days, 0 hours",168,25000,[168]
"7 days, 1 hours",169,25250,"[168, 1]"
"7 days, 2 hours",170,25500,"[168, 1, 1]"
"7 days, 3 hours",171,25750,"[168, 3]"
"7 days, 4 hours",172,26000,"[168, 3, 1]"
"7 days, 5 hours",173,26250,"[168, 3, 1, 1]"
"7 days, 6 hours",174,26500,"[168, 3, 3]"
"7 days, 7 hours",175,26750,"[168, 3, 3, 1]"
"7 days, 8 hours",176,26800,"[168, 8]"
"7 days, 9 hours",177,27050,"[168, 8, 1]"
"7 days, 10 hours",178,27300,"[168, 8, 1, 1]"
"7 days, 11 hours",179,27550,"[168, 8, 3]"
"7 days, 12 hours",180,27800,"[168, 8, 3, 1]"
"7 days, 13 hours",181,28050,"[168, 8, 3, 1, 1]"
"7 days, 14 hours",182,28300,"[168, 8, 3, 3]"
"7 days, 15 hours",183,28550,"[168, 8, 3, 3, 1]"
"7 days, 16 hours",184,28600,"[168, 8, 8]"
"7 days, 17 hours",185,28850,"[168, 8, 8, 1]"
"7 days, 18 hours",186,29100,"[168, 8, 8, 1, 1]"
"7 days, 19 hours",187,29350,"[168, 8, 8, 3]"
"7 days, 20 hours",188,29600,"[168, 8, 8, 3, 1]"
"7 days, 21 hours",189,29800,"[168, 24]"
"7 days, 22 hours",190,29800,"[168, 24]"
"7 days, 23 hours",191,29800,"[168, 24]"
"8 days, 0 hours",192,29800,"[168, 24]"
"8 days, 1 hours",193,30050,"[168, 24, 1]"
"8 days, 2 hours",194,30300,"[168, 24, 1, 1]"
"8 days, 3 hours",195,30550,"[168, 24, 3]"
"8 days, 4 hours",196,30800,"[168, 24, 3, 1]"
"8 days, 5 hours",197,31050,"[168, 24, 3, 1, 1]"
"8 days, 6 hours",198,31300,"[168, 24, 3, 3]"
"8 days, 7 hours",199,31550,"[168, 24, 3, 3, 1]"
"8 days, 8 hours",200,31600,"[168, 24, 8]"
"8 days, 9 hours",201,31850,"[168, 24, 8, 1]"
"8 days, 10 hours",202,32100,"[168, 24, 8, 1, 1]"
"8 days, 11 hours",203,32350,"[168, 24, 8, 3]"
"8 days, 12 hours",204,32600,"[168, 24, 8, 3, 1]"
"8 days, 13 hours",205,32850,"[168, 24, 8, 3, 1, 1]"
"8 days, 14 hours",206,33100,"[168, 24, 8, 3, 3]"
"8 days, 15 hours",207,33350,"[168, 24, 8, 3, 3, 1]"
"8 days, 16 hours",208,33400,"[168, 24, 8, 8]"
"8 days, 17 hours",209,33650,"[168, 24, 8, 8, 1]"
"8 days, 18 hours",210,33900,"[168, 24, 8, 8, 1, 1]"
"8 days, 19 hours",211,34150,"[168, 24, 8, 8, 3]"
"8 days, 20 hours",212,34400,"[168, 24, 8, 8, 3, 1]"
"8 days, 21 hours",213,34600,"[168, 24, 24]"
"8 days, 22 hours",214,34600,"[168, 24, 24]"
"8 days, 23 hours",215,34600,"[168, 24, 24]"
"9 days, 0 hours",216,34600,"[168, 24, 24]"
"9 days, 1 hours",217,34850,"[168, 24, 24, 1]"
"9 days, 2 hours",218,35100,"[168, 24, 24, 1, 1]"
"9 days, 3 hours",219,35350,"[168, 24, 24, 3]"
"9 days, 4 hours",220,35600,"[168, 24, 24, 3, 1]"
"9 days, 5 hours",221,35850,"[168, 24, 24, 3, 1, 1]"
"9 days, 6 hours",222,36100,"[168, 24, 24, 3, 3]"
"9 days, 7 hours",223,36350,"[168, 24, 24, 3, 3, 1]"
"9 days, 8 hours",224,36400,"[168, 24, 24, 8]"
"9 days, 9 hours",225,36650,"[168, 24, 24, 8, 1]"
"9 days, 10 hours",226,36900,"[168, 24, 24, 8, 1, 1]"
"9 days, 11 hours",227,37000,"[168, 72]"
"9 days, 12 hours",228,37000,"[168, 72]"
"9 days, 13 hours",229,37000,"[168, 72]"
"9 days, 14 hours",230,37000,"[168, 72]"
"9 days, 15 hours",231,37000,"[168, 72]"
"9 days, 16 hours",232,37000,"[168, 72]"
"9 days, 17 hours",233,37000,"[168, 72]"
"9 days, 18 hours",234,37000,"[168, 72]"
"9 days, 19 hours",235,37000,"[168, 72]"
"9 days, 20 hours",236,37000,"[168, 72]"
"9 days, 21 hours",237,37000,"[168, 72]"
"9 days, 22 hours",238,37000,"[168, 72]"
"9 days, 23 hours",239,37000,"[168, 72]"
"10 days, 0 hours",240,37000,"[168, 72]"
"10 days, 1 hours",241,37250,"[168, 72, 1]"
"10 days, 2 hours",242,37500,"[168, 72, 1, 1]"
"10 days, 3 hours",243,37750,"[168, 72, 3]"
"10 days, 4 hours",244,38000,"[168, 72, 3, 1]"
"10 days, 5 hours",245,38250,"[168, 72, 3, 1, 1]"
"10 days, 6 hours",246,38500,"[168, 72, 3, 3]"
"10 days, 7 hours",247,38750,"[168, 72, 3, 3, 1]"
"10 days, 8 hours",248,38800,"[168, 72, 8]"
"10 days, 9 hours",249,39050,"[168, 72, 8, 1]"
"10 days, 10 hours",250,39300,"[168, 72, 8, 1, 1]"
"10 days, 11 hours",251,39550,"[168, 72, 8, 3]"
"10 days, 12 hours",252,39800,"[168, 72, 8, 3, 1]"
"10 days, 13 hours",253,40050,"[168, 72, 8, 3, 1, 1]"
"10 days, 14 hours",254,40300,"[168, 72, 8, 3, 3]"
"10 days, 15 hours",255,40550,"[168, 72, 8, 3, 3, 1]"
"10 days, 16 hours",256,40600,"[168, 72, 8, 8]"
"10 days, 17 hours",257,40850,"[168, 72, 8, 8, 1]"
"10 days, 18 hours",258,41100,"[168, 72, 8, 8, 1, 1]"
"10 days, 19 hours",259,41350,"[168, 72, 8, 8, 3]"
"10 days, 20 hours",260,41600,"[168, 72, 8, 8, 3, 1]"
"10 days, 21 hours",261,41800,"[168, 72, 24]"
"10 days, 22 hours",262,41800,"[168, 72, 24]"
"10 days, 23 hours",263,41800,"[168, 72, 24]"
"11 days, 0 hours",264,41800,"[168, 72, 24]"
"11 days, 1 hours",265,42050,"[168, 72, 24, 1]"
"11 days, 2 hours",266,42300,"[168, 72, 24, 1, 1]"
"11 days, 3 hours",267,42550,"[168, 72, 24, 3]"
"11 days, 4 hours",268,42800,"[168, 72, 24, 3, 1]"
"11 days, 5 hours",269,43050,"[168, 72, 24, 3, 1, 1]"
"11 days, 6 hours",270,43300,"[168, 72, 24, 3, 3]"
"11 days, 7 hours",271,43550,"[168, 72, 24, 3, 3, 1]"
"11 days, 8 hours",272,43600,"[168, 72, 24, 8]"
"11 days, 9 hours",273,43850,"[168, 72, 24, 8, 1]"
"11 days, 10 hours",274,44100,"[168, 72, 24, 8, 1, 1]"
"11 days, 11 hours",275,44350,"[168, 72, 24, 8, 3]"
"11 days, 12 hours",276,44600,"[168, 72, 24, 8, 3, 1]"
"11 days, 13 hours",277,44850,"[168, 72, 24, 8, 3, 1, 1]"
"11 days, 14 hours",278,45100,"[168, 72, 24, 8, 3, 3]"
"11 days, 15 hours",279,45350,"[168, 72, 24, 8, 3, 3, 1]"
"11 days, 16 hours",280,45400,"[168, 72, 24, 8, 8]"
"11 days, 17 hours",281,45650,"[168, 72, 24, 8, 8, 1]"
"11 days, 18 hours",282,45900,"[168, 72, 24, 8, 8, 1, 1]"
"11 days, 19 hours",283,46150,"[168, 72, 24, 8, 8, 3]"
"11 days, 20 hours",284,46400,"[168, 72, 24, 8, 8, 3, 1]"
"11 days, 21 hours",285,46600,"[168, 72, 24, 24]"
"11 days, 22 hours",286,46600,"[168, 72, 24, 24]"
"11 days, 23 hours",287,46600,"[168, 72, 24, 24]"
"12 days, 0 hours",288,46600,"[168, 72, 24, 24]"
"12 days, 1 hours",289,46850,"[168, 72, 24, 24, 1]"
"12 days, 2 hours",290,47100,"[168, 72, 24, 24, 1, 1]"
"12 days, 3 hours",291,47350,"[168, 72, 24, 24, 3]"
"12 days, 4 hours",292,47600,"[168, 72, 24, 24, 3, 1]"
"12 days, 5 hours",293,47850,"[168, 72, 24, 24, 3, 1, 1]"
"12 days, 6 hours",294,48100,"[168, 72, 24, 24, 3, 3]"
"12 days, 7 hours",295,48350,"[168, 72, 24, 24, 3, 3, 1]"
"12 days, 8 hours",296,48400,"[168, 72, 24, 24, 8]"
"12 days, 9 hours",297,48650,"[168, 72, 24, 24, 8, 1]"
"12 days, 10 hours",298,48900,"[168, 72, 24, 24, 8, 1, 1]"
"12 days, 11 hours",299,49000,"[168, 72, 72]"
"12 days, 12 hours",300,49000,"[168, 72, 72]"
"12 days, 13 hours",301,49000,"[168, 72, 72]"
"12 days, 14 hours",302,49000,"[168, 72, 72]"
"12 days, 15 hours",303,49000,"[168, 72, 72]"
"12 days, 16 hours",304,49000,"[168, 72, 72]"
"12 days, 17 hours",305,49000,"[168, 72, 72]"
"12 days, 18 hours",306,49000,"[168, 72, 72]"
"12 days, 19 hours",307,49000,"[168, 72, 72]"
"12 days, 20 hours",308,49000,"[168, 72, 72]"
"12 days, 21 hours",309,49000,"[168, 72, 72]"
"12 days, 22 hours",310,49000,"[168, 72, 72]"
"12 days, 23 hours",311,49000,"[168, 72, 72]"
"13 days, 0 hours",312,49000,"[168, 72, 72]"
"13 days, 1 hours",313,49250,"[168, 72, 72, 1]"
"13 days, 2 hours",314,49500,"[168, 72, 72, 1, 1]"
"13 days, 3 hours",315,49750,"[168, 72, 72, 3]"
"13 days, 4 hours",316,50000,"[168, 168]"
"13 days, 5 hours",317,50000,"[168, 168]"
"13 days, 6 hours",318,50000,"[168, 168]"
"13 days, 7 hours",319,50000,"[168, 168]"
"13 days, 8 hours",320,50000,"[168, 168]"
"13 days, 9 hours",321,50000,"[168, 168]"
"13 days, 10 hours",322,50000,"[168, 168]"
"13 days, 11 hours",323,50000,"[168, 168]"
"13 days, 12 hours",324,50000,"[168, 168]"
"13 days, 13 hours",325,50000,"[168, 168]"
"13 days, 14 hours",326,50000,"[168, 168]"
"13 days, 15 hours",327,50000,"[168, 168]"
"13 days, 16 hours",328,50000,"[168, 168]"
"13 days, 17 hours",329,50000,"[168, 168]"
"13 days, 18 hours",330,50000,"[168, 168]"
"13 days, 19 hours",331,50000,"[168, 168]"
"13 days, 20 hours",332,50000,"[168, 168]"
"13 days, 21 hours",333,50000,"[168, 168]"
"13 days, 22 hours",334,50000,"[168, 168]"
"13 days, 23 hours",335,50000,"[168, 168]"
"14 days, 0 hours",336,50000,"[168, 168]"
"14 days, 1 hours",337,50250,"[168, 168, 1]"
"14 days, 2 hours",338,50500,"[168, 168, 1, 1]"
"14 days, 3 hours",339,50750,"[168, 168, 3]"
"14 days, 4 hours",340,51000,"[168, 168, 3, 1]"
"14 days, 5 hours",341,51250,"[168, 168, 3, 1, 1]"
"14 days, 6 hours",342,51500,"[168, 168, 3, 3]"
"14 days, 7 hours",343,51750,"[168, 168, 3, 3, 1]"
"14 days, 8 hours",344,51800,"[168, 168, 8]"
"14 days, 9 hours",345,52050,"[168, 168, 8, 1]"
"14 days, 10 hours",346,52300,"[168, 168, 8, 1, 1]"
"14 days, 11 hours",347,52550,"[168, 168, 8, 3]"
"14 days, 12 hours",348,52800,"[168, 168, 8, 3, 1]"
"14 days, 13 hours",349,53050,"[168, 168, 8, 3, 1, 1]"
"14 days, 14 hours",350,53300,"[168, 168, 8, 3, 3]"
"14 days, 15 hours",351,53550,"[168, 168, 8, 3, 3, 1]"
"14 days, 16 hours",352,53600,"[168, 168, 8, 8]"
"14 days, 17 hours",353,53850,"[168, 168, 8, 8, 1]"
"14 days, 18 hours",354,54100,"[168, 168, 8, 8, 1, 1]"
"14 days, 19 hours",355,54350,"[168, 168, 8, 8, 3]"
"14 days, 20 hours",356,54600,"[168, 168, 8, 8, 3, 1]"
"14 days, 21 hours",357,54800,"[168, 168, 24]"
"14 days, 22 hours",358,54800,"[168, 168, 24]"
"14 days, 23 hours",359,54800,"[168, 168, 24]"
"15 days, 0 hours",360,54800,"[168, 168, 24]"
"15 days, 1 hours",361,55050,"[168, 168, 24, 1]"
"15 days, 2 hours",362,55300,"[168, 168, 24, 1, 1]"
"15 days, 3 hours",363,55550,"[168, 168, 24, 3]"
"15 days, 4 hours",364,55800,"[168, 168, 24, 3, 1]"
"15 days, 5 hours",365,56050,"[168, 168, 24, 3, 1, 1]"
"15 days, 6 hours",366,56300,"[168, 168, 24, 3, 3]"
"15 days, 7 hours",367,56550,"[168, 168, 24, 3, 3, 1]"
"15 days, 8 hours",368,56600,"[168, 168, 24, 8]"
"15 days, 9 hours",369,56850,"[168, 168, 24, 8, 1]"
"15 days, 10 hours",370,57100,"[168, 168, 24, 8, 1, 1]"
"15 days, 11 hours",371,57350,"[168, 168, 24, 8, 3]"
"15 days, 12 hours",372,57600,"[168, 168, 24, 8, 3, 1]"
"15 days, 13 hours",373,57850,"[168, 168, 24, 8, 3, 1, 1]"
"15 days, 14 hours",374,58100,"[168, 168, 24, 8, 3, 3]"
"15 days, 15 hours",375,58300,[480]
"15 days, 16 hours",376,58300,[480]
"15 days, 17 hours",377,58300,[480]
"15 days, 18 hours",378,58300,[480]
"15 days, 19 hours",379,58300,[480]
"15 days, 20 hours",380,58300,[480]
"15 days, 21 hours",381,58300,[480]
"15 days, 22 hours",382,58300,[480]
"15 days, 23 hours",383,58300,[480]
"16 days, 0 hours",384,58300,[480]
"16 days, 1 hours",385,58300,[480]
"16 days, 2 hours",386,58300,[480]
"16 days, 3 hours",387,58300,[480]
"16 days, 4 hours",388,58300,[480]
"16 days, 5 hours",389,58300,[480]
"16 days, 6 hours",390,58300,[480]
"16 days, 7 hours",391,58300,[480]
"16 days, 8 hours",392,58300,[480]
"16 days, 9 hours",393,58300,[480]
"16 days, 10 hours",394,58300,[480]
"16 days, 11 hours",395,58300,[480]
"16 days, 12 hours",396,58300,[480]
"16 days, 13 hours",397,58300,[480]
"16 days, 14 hours",398,58300,[480]
"16 days, 15 hours",399,58300,[480]
"16 days, 16 hours",400,58300,[480]
"16 days, 17 hours",401,58300,[480]
"16 days, 18 hours",402,58300,[480]
"16 days, 19 hours",403,58300,[480]
"16 days, 20 hours",404,58300,[480]
"16 days, 21 hours",405,58300,[480]
"16 days, 22 hours",406,58300,[480]
"16 days, 23 hours",407,58300,[480]
"17 days, 0 hours",408,58300,[480]
"17 days, 1 hours",409,58300,[480]
"17 days, 2 hours",410,58300,[480]
"17 days, 3 hours",411,58300,[480]
"17 days, 4 hours",412,58300,[480]
"17 days, 5 hours",413,58300,[480]
"17 days, 6 hours",414,58300,[480]
"17 days, 7 hours",415,58300,[480]
"17 days, 8 hours",416,58300,[480]
"17 days, 9 hours",417,58300,[480]
"17 days, 10 hours",418,58300,[480]
"17 days, 11 hours",419,58300,[480]
"17 days, 12 hours",420,58300,[480]
"17 days, 13 hours",421,58300,[480]
"17 days, 14 hours",422,58300,[480]
"17 days, 15 hours",423,58300,[480]
"17 days, 16 hours",424,58300,[480]
"17 days, 17 hours",425,58300,[480]
"17 days, 18 hours",426,58300,[480]
"17 days, 19 hours",427,58300,[480]
"17 days, 20 hours",428,58300,[480]
"17 days, 21 hours",429,58300,[480]
"17 days, 22 hours",430,58300,[480]
"17 days, 23 hours",431,58300,[480]
"18 days, 0 hours",432,58300,[480]
"18 days, 1 hours",433,58300,[480]
"18 days, 2 hours",434,58300,[480]
"18 days, 3 hours",435,58300,[480]
"18 days, 4 hours",436,58300,[480]
"18 days, 5 hours",437,58300,[480]
"18 days, 6 hours",438,58300,[480]
"18 days, 7 hours",439,58300,[480]
"18 days, 8 hours",440,58300,[480]
"18 days, 9 hours",441,58300,[480]
"18 days, 10 hours",442,58300,[480]
"18 days, 11 hours",443,58300,[480]
"18 days, 12 hours",444,58300,[480]
"18 days, 13 hours",445,58300,[480]
"18 days, 14 hours",446,58300,[480]
"18 days, 15 hours",447,58300,[480]
"18 days, 16 hours",448,58300,[480]
"18 days, 17 hours",449,58300,[480]
"18 days, 18 hours",450,58300,[480]
"18 days, 19 hours",451,58300,[480]
"18 days, 20 hours",452,58300,[480]
"18 days, 21 hours",453,58300,[480]
"18 days, 22 hours",454,58300,[480]
"18 days, 23 hours",455,58300,[480]
"19 days, 0 hours",456,58300,[480]
"19 days, 1 hours",457,58300,[480]
"19 days, 2 hours",458,58300,[480]
"19 days, 3 hours",459,58300,[480]
"19 days, 4 hours",460,58300,[480]
"19 days, 5 hours",461,58300,[480]
"19 days, 6 hours",462,58300,[480]
"19 days, 7 hours",463,58300,[480]
"19 days, 8 hours",464,58300,[480]
"19 days, 9 hours",465,58300,[480]
"19 days, 10 hours",466,58300,[480]
"19 days, 11 hours",467,58300,[480]
"19 days, 12 hours",468,58300,[480]
"19 days, 13 hours",469,58300,[480]
"19 days, 14 hours",470,58300,[480]
"19 days, 15 hours",471,58300,[480]
"19 days, 16 hours",472,58300,[480]
"19 days, 17 hours",473,58300,[480]
"19 days, 18 hours",474,58300,[480]
"19 days, 19 hours",475,58300,[480]
"19 days, 20 hours",476,58300,[480]
"19 days, 21 hours",477,58300,[480]
"19 days, 22 hours",478,58300,[480]
"19 days, 23 hours",479,58300,[480]
"20 days, 0 hours",480,58300,[480]
"20 days, 1 hours",481,58550,"[480, 1]"
"20 days, 2 hours",482,58800,"[480, 1, 1]"
"20 days, 3 hours",483,59050,"[480, 3]"
"20 days, 4 hours",484,59300,"[480, 3, 1]"
"20 days, 5 hours",485,59550,"[480, 3, 1, 1]"
"20 days, 6 hours",486,59800,"[480, 3, 3]"
"20 days, 7 hours",487,60050,"[480, 3, 3, 1]"
"20 days, 8 hours",488,60100,"[480, 8]"
"20 days, 9 hours",489,60350,"[480, 8, 1]"
"20 days, 10 hours",490,60600,"[480, 8, 1, 1]"
"20 days, 11 hours",491,60850,"[480, 8, 3]"
"20 days, 12 hours",492,61100,"[480, 8, 3, 1]"
"20 days, 13 hours",493,61350,"[480, 8, 3, 1, 1]"
"20 days, 14 hours",494,61600,"[480, 8, 3, 3]"
"20 days, 15 hours",495,61850,"[480, 8, 3, 3, 1]"
"20 days, 16 hours",496,61900,"[480, 8, 8]"
"20 days, 17 hours",497,62150,"[480, 8, 8, 1]"
"20 days, 18 hours",498,62400,"[480, 8, 8, 1, 1]"
"20 days, 19 hours",499,62650,"[480, 8, 8, 3]"
"20 days, 20 hours",500,62900,"[480, 8, 8, 3, 1]"
"20 days, 21 hours",501,63100,"[480, 24]"
"20 days, 22 hours",502,63100,"[480, 24]"
"20 days, 23 hours",503,63100,"[480, 24]"
"21 days, 0 hours",504,63100,"[480, 24]"
"21 days, 1 hours",505,63350,"[480, 24, 1]"
"21 days, 2 hours",506,63600,"[480, 24, 1, 1]"
"21 days, 3 hours",507,63850,"[480, 24, 3]"
"21 days, 4 hours",508,64100,"[480, 24, 3, 1]"
"21 days, 5 hours",509,64350,"[480, 24, 3, 1, 1]"
"21 days, 6 hours",510,64600,"[480, 24, 3, 3]"
